-7.109603881835937500e+01,-4.577636718750000000e-05,-4.985922714695334435e-07
7.214447021484375000e+01,6.103515625000000000e-05,4.991943569621071219e-07
1.900650143623352051e+00,6.663799467787612230e-07,1.746863320661873331e-09
2.346256828308105469e+01,1.153019366029184312e-05,2.929529614448256325e-07
5.217115394771099091e-03,2.273620225423655938e-08,1.257213534699985757e-05
1.220703125000000000e-04,-1.831054687500000000e-04,0.000000000000000000e+00
4.150390625000000000e-03,1.525878906250000000e-05,1.862645149230957031e-08
1.229594927281141281e-03,-4.333835750003345311e-05,3.405502768671908598e-09
7.648212485946714878e-04,2.771552681224420667e-05,2.122242381830119484e-09
3.394306418158521410e-07,1.421511086618920672e-07,1.678270677984983195e-07
-1.864378906250000000e+04,-5.969210815429687500e+02,-9.002025425434112549e-02
3.497708251953125000e+03,1.771596191406250000e+03,4.326331987977027893e-02
-4.326533889770507812e+01,3.924456596374511719e+00,-1.103936592699028552e-04
7.769931640625000000e+02,8.791467285156250000e+01,5.657563451677560806e-03
6.136962771415710449e-02,6.576132774353027344e-02,7.884978502988815308e-02
